Case Number,Business Address,Parcel Number,Business Name,Owner Name,License Issued Date,License Type,License Description,Business Description,Location
BUS1987-00010,400 BAGLEY,02002293-6,THE LELAND HOUSE,THE LELAND HOUSE,04/15/2016,Renewal,Hotel (1-50) Rooms,Corporation,"location
(42.33367, -83.05445)"
BUS1987-00310,24235 W SEVEN MILE,22016708-10,MAI KAI CLEANERS,STEPHEN HURWITZ,07/21/2017,Renewal,Dry Cleaner/Laundering Plant,Sole Proprietor,"location
(42.42861, -83.27993)"
BUS1987-00310,24235 W SEVEN MILE,22016708-10,MAI KAI CLEANERS,STEPHEN HURWITZ,07/21/2015,Renewal,Dry Cleaner/Laundering Plant,Sole Proprietor,"location
(42.42861, -83.27993)"
BUS1987-00356,2305 PARK,02000469.,PARK AVENUE HOUSE,PARK AVENUE HOUSE,07/21/2017,Renewal,Hotel (101-200) Rooms,Sole Proprietor,"location
(42.33826, -83.0543)"
BUS1987-00392,5801 SOUTHFIELD,22000025.,DOUBLE TREE HOTEL DEARBORN,"DEARBORN OPERATIONS, LLC",07/10/2015,Renewal,Hall - Rental,Corporation,"location
(42.33156, -83.21759)"
BUS1987-00392,5801 SOUTHFIELD,22000025.,DOUBLE TREE HOTEL DEARBORN,"DEARBORN OPERATIONS, LLC",07/10/2015,Renewal,Hotel (301-500) Rooms,Corporation,"location
(42.33156, -83.21759)"
BUS1987-00392,5801 SOUTHFIELD,22000025.,DOUBLE TREE HOTEL DEARBORN,"DEARBORN OPERATIONS, LLC",07/10/2015,Renewal,Restaurant W/Class C (MLCC) Lic.(151 seats & over),Corporation,"location
(42.33156, -83.21759)"
BUS1987-00392,5801 SOUTHFIELD,22000025.,DOUBLE TREE HOTEL DEARBORN,"DEARBORN OPERATIONS, LLC",01/16/2018,Renewal,Hall - Rental,Corporation,"location
(42.33156, -83.21759)"
BUS1987-00612,12721 FENKELL,22010605-11,HATTAR SUNOCO SERVICE,HATTAR SUNOCO SERVICE,08/25/2015,Renewal,Cigarette - Retail,,"location
(42.40188, -83.16987)"
BUS1987-00612,12721 FENKELL,22010605-11,HATTAR SUNOCO SERVICE,HATTAR SUNOCO SERVICE,08/25/2015,Renewal,Gas Station (Self Service),,"location
(42.40188, -83.16987)"
BUS1987-00612,12721 FENKELL,22010605-11,HATTAR SUNOCO SERVICE,HATTAR SUNOCO SERVICE,09/06/2017,Renewal,Cigarette - Retail,,"location
(42.40188, -83.16987)"
BUS1987-00612,12721 FENKELL,22010605-11,HATTAR SUNOCO SERVICE,HATTAR SUNOCO SERVICE,09/06/2017,Renewal,Gas Station (Self Service),,"location
(42.40188, -83.16987)"
BUS1987-00612,12721 FENKELL,22010605-11,HATTAR SUNOCO SERVICE,HATTAR SUNOCO SERVICE,08/25/2016,Renewal,Cigarette - Retail,,"location
(42.40188, -83.16987)"
BUS1987-00537,12700 CHICAGO,22004736-40,CASEY FUEL INC,CASEY FUEL INC,12/08/2016,New Owner,Cigarette - Retail,Corporation,"location
(42.36629, -83.16843)"
BUS1987-00537,12700 CHICAGO,22004736-40,CASEY FUEL INC,CASEY FUEL INC,12/08/2016,New Owner,Gas Station (Self Service),Corporation,"location
(42.36629, -83.16843)"
BUS1987-00537,12700 CHICAGO,22004736-40,CASEY FUEL INC,CASEY FUEL INC,09/21/2017,New Owner,Cigarette - Retail,Corporation,"location
(42.36629, -83.16843)"
BUS1987-00537,12700 CHICAGO,22004736-40,CASEY FUEL INC,CASEY FUEL INC,09/21/2017,New Owner,Gas Station (Self Service),Corporation,"location
(42.36629, -83.16843)"
BUS1987-00537,12700 CHICAGO,22004736-40,CASEY FUEL INC,CASEY FUEL INC,03/04/2015,New Owner,Cigarette - Retail,Corporation,"location
(42.36629, -83.16843)"
BUS1987-00537,12700 CHICAGO,22004736-40,CASEY FUEL INC,CASEY FUEL INC,03/04/2015,New Owner,Gas Station (Self Service),Corporation,"location
(42.36629, -83.16843)"
BUS1987-00550,10001 W SEVEN MILE,16008642-5,HAMAMA AND SONS #2,SAFA HAMAMA,08/16/2016,Renewal,Cigarette - Retail,Sole Proprietor,"location
(42.43109, -83.16132)"
BUS1987-00550,10001 W SEVEN MILE,16008642-5,HAMAMA AND SONS #2,SAFA HAMAMA,08/16/2016,Renewal,Gas Station (Self Service),Sole Proprietor,"location
(42.43109, -83.16132)"
BUS1987-00550,10001 W SEVEN MILE,16008642-5,HAMAMA AND SONS #2,SAFA HAMAMA,10/22/2018,Renewal,Cigarette - Retail,Sole Proprietor,"location
(42.43109, -83.16132)"
BUS1987-00550,10001 W SEVEN MILE,16008642-5,HAMAMA AND SONS #2,SAFA HAMAMA,10/22/2018,Renewal,Gas Station (Self Service),Sole Proprietor,"location
(42.43109, -83.16132)"
BUS1987-00550,10001 W SEVEN MILE,16008642-5,HAMAMA AND SONS #2,SAFA HAMAMA,09/29/2015,Renewal,Cigarette - Retail,Sole Proprietor,"location
(42.43109, -83.16132)"
BUS1987-00550,10001 W SEVEN MILE,16008642-5,HAMAMA AND SONS #2,SAFA HAMAMA,09/29/2015,Renewal,Gas Station (Self Service),Sole Proprietor,"location
(42.43109, -83.16132)"
BUS1987-00550,10001 W SEVEN MILE,16008642-5,HAMAMA AND SONS #2,SAFA HAMAMA,08/04/2017,Renewal,Cigarette - Retail,Sole Proprietor,"location
(42.43109, -83.16132)"
BUS1987-00550,10001 W SEVEN MILE,16008642-5,HAMAMA AND SONS #2,SAFA HAMAMA,08/04/2017,Renewal,Gas Station (Self Service),Sole Proprietor,"location
(42.43109, -83.16132)"
BUS1987-00392,5801 SOUTHFIELD,22000025.,DOUBLE TREE HOTEL DEARBORN,"DEARBORN OPERATIONS, LLC",02/08/2017,Renewal,Hall - Rental,Corporation,"location
(42.33156, -83.21759)"
BUS1987-00392,5801 SOUTHFIELD,22000025.,DOUBLE TREE HOTEL DEARBORN,"DEARBORN OPERATIONS, LLC",02/08/2017,Renewal,Hotel (301-500) Rooms,Corporation,"location
(42.33156, -83.21759)"
BUS1987-00392,5801 SOUTHFIELD,22000025.,DOUBLE TREE HOTEL DEARBORN,"DEARBORN OPERATIONS, LLC",02/08/2017,Renewal,Restaurant W/Class C (MLCC) Lic.(151 seats & over),Corporation,"location
(42.33156, -83.21759)"
BUS1987-00392,5801 SOUTHFIELD,22000025.,DOUBLE TREE HOTEL DEARBORN,"DEARBORN OPERATIONS, LLC",02/08/2017,Renewal,Cabaret A - W/MLCC /with Dance & Entertainment,Corporation,"location
(42.33156, -83.21759)"
BUS1987-00392,5801 SOUTHFIELD,22000025.,DOUBLE TREE HOTEL DEARBORN,"DEARBORN OPERATIONS, LLC",04/19/2017,Renewal,Hall - Rental,Corporation,"location
(42.33156, -83.21759)"
BUS1987-00392,5801 SOUTHFIELD,22000025.,DOUBLE TREE HOTEL DEARBORN,"DEARBORN OPERATIONS, LLC",04/19/2017,Renewal,Hotel (301-500) Rooms,Corporation,"location
(42.33156, -83.21759)"
BUS1987-00572,5564 WOODWARD,,"BEST BUY SERVICE, INC.",HASSAN HAMMOUD,07/24/2017,Renewal,Cigarette - Retail,,"location
(42.36139, -83.06725)"
BUS1987-00572,5564 WOODWARD,,"BEST BUY SERVICE, INC.",HASSAN HAMMOUD,07/24/2017,Renewal,Gas Station (Self Service),,"location
(42.36139, -83.06725)"
BUS1987-00572,5564 WOODWARD,,"BEST BUY SERVICE, INC.",HASSAN HAMMOUD,08/20/2015,Renewal,Cigarette - Retail,,"location
(42.36139, -83.06725)"
BUS1987-00572,5564 WOODWARD,,"BEST BUY SERVICE, INC.",HASSAN HAMMOUD,08/20/2015,Renewal,Gas Station (Self Service),,"location
(42.36139, -83.06725)"
BUS1987-00572,5564 WOODWARD,,"BEST BUY SERVICE, INC.",HASSAN HAMMOUD,08/30/2018,Renewal,Cigarette - Retail,,"location
(42.36139, -83.06725)"
BUS1987-00572,5564 WOODWARD,,"BEST BUY SERVICE, INC.",HASSAN HAMMOUD,08/30/2018,Renewal,Gas Station (Self Service),,"location
(42.36139, -83.06725)"
BUS1987-00572,5564 WOODWARD,,"BEST BUY SERVICE, INC.",HASSAN HAMMOUD,08/11/2016,Renewal,Cigarette - Retail,,"location
(42.36139, -83.06725)"
BUS1987-00572,5564 WOODWARD,,"BEST BUY SERVICE, INC.",HASSAN HAMMOUD,08/11/2016,Renewal,Gas Station (Self Service),,"location
(42.36139, -83.06725)"
BUS1987-00612,12721 FENKELL,22010605-11,HATTAR SUNOCO SERVICE,HATTAR SUNOCO SERVICE,06/26/2015,Renewal,Cigarette - Retail,,"location
(42.40188, -83.16987)"
BUS1987-00612,12721 FENKELL,22010605-11,HATTAR SUNOCO SERVICE,HATTAR SUNOCO SERVICE,06/26/2015,Renewal,Gas Station (Self Service),,"location
(42.40188, -83.16987)"
BUS1987-00689,17721 SCHOOLCRAFT,22073219.,SCHOOLCRAFT GAS & MART INC,SCHOOLCRAFT GAS & MART INC,08/16/2016,New Owner,Cigarette - Retail,Corporation,"location
(42.3862, -83.21698)"
BUS1987-00689,17721 SCHOOLCRAFT,22073219.,SCHOOLCRAFT GAS & MART INC,SCHOOLCRAFT GAS & MART INC,08/16/2016,New Owner,Gas Station (Self Service),Corporation,"location
(42.3862, -83.21698)"
BUS1987-00689,17721 SCHOOLCRAFT,22073219.,SCHOOLCRAFT GAS & MART INC,SCHOOLCRAFT GAS & MART INC,01/26/2017,New Owner,Cigarette - Retail,Corporation,"location
(42.3862, -83.21698)"
BUS1987-00689,17721 SCHOOLCRAFT,22073219.,SCHOOLCRAFT GAS & MART INC,SCHOOLCRAFT GAS & MART INC,01/26/2017,New Owner,Gas Station (Self Service),Corporation,"location
(42.3862, -83.21698)"
BUS1987-00689,17721 SCHOOLCRAFT,22073219.,SCHOOLCRAFT GAS & MART INC,SCHOOLCRAFT GAS & MART INC,08/25/2017,New Owner,Cigarette - Retail,Corporation,"location
(42.3862, -83.21698)"
BUS1987-00689,17721 SCHOOLCRAFT,22073219.,SCHOOLCRAFT GAS & MART INC,SCHOOLCRAFT GAS & MART INC,08/25/2017,New Owner,Gas Station (Self Service),Corporation,"location
(42.3862, -83.21698)"
BUS1987-00689,17721 SCHOOLCRAFT,22073219.,SCHOOLCRAFT GAS & MART INC,SCHOOLCRAFT GAS & MART INC,10/22/2018,New Owner,Cigarette - Retail,Corporation,"location
(42.3862, -83.21698)"
BUS1987-00689,17721 SCHOOLCRAFT,22073219.,SCHOOLCRAFT GAS & MART INC,SCHOOLCRAFT GAS & MART INC,10/22/2018,New Owner,Gas Station (Self Service),Corporation,"location
(42.3862, -83.21698)"
BUS1987-00712,4111 E SEVEN MILE,13008462-70,KING FUEL LLC,KING FUEL LLC,11/28/2016,Renewal,Cigarette - Retail,Limited Liability Co,"location
(42.43337, -83.06264)"
BUS1987-00712,4111 E SEVEN MILE,13008462-70,KING FUEL LLC,KING FUEL LLC,11/28/2016,Renewal,Gas Station (Self Service),Limited Liability Co,"location
(42.43337, -83.06264)"
BUS1987-00660,2010 E JEFFERSON,09000089.,EAST JEFFERSON MOBIL INC,"EAST JEFFERSON MOBIL, INC",08/31/2015,New Owner,Cigarette - Retail,Corporation,"location
(42.33617, -83.02637)"
BUS1987-00660,2010 E JEFFERSON,09000089.,EAST JEFFERSON MOBIL INC,"EAST JEFFERSON MOBIL, INC",08/31/2015,New Owner,Gas Station (Self Service),Corporation,"location
(42.33617, -83.02637)"
BUS1987-00660,2010 E JEFFERSON,09000089.,EAST JEFFERSON MOBIL INC,"EAST JEFFERSON MOBIL, INC",11/10/2016,New Owner,Cigarette - Retail,Corporation,"location
(42.33617, -83.02637)"
BUS1987-00660,2010 E JEFFERSON,09000089.,EAST JEFFERSON MOBIL INC,"EAST JEFFERSON MOBIL, INC",11/10/2016,New Owner,Gas Station (Self Service),Corporation,"location
(42.33617, -83.02637)"
BUS1987-00660,2010 E JEFFERSON,09000089.,EAST JEFFERSON MOBIL INC,"EAST JEFFERSON MOBIL, INC",09/20/2017,New Owner,Cigarette - Retail,Corporation,"location
(42.33617, -83.02637)"
BUS1987-00660,2010 E JEFFERSON,09000089.,EAST JEFFERSON MOBIL INC,"EAST JEFFERSON MOBIL, INC",09/20/2017,New Owner,Gas Station (Self Service),Corporation,"location
(42.33617, -83.02637)"
BUS1987-00757,11626 WOODWARD,01004380-1,THE NORMANDIE,"NORWOOD INVESTMENTS, INC.",11/20/2018,Renewal,Beverages Retail,,"location
(42.39255, -83.08765)"
BUS1987-00757,11626 WOODWARD,01004380-1,THE NORMANDIE,"NORWOOD INVESTMENTS, INC.",11/20/2018,Renewal,Vending Machines - Package Food Tag(s),,"location
(42.39255, -83.08765)"
BUS1987-00757,11626 WOODWARD,01004380-1,THE NORMANDIE,"NORWOOD INVESTMENTS, INC.",11/20/2018,Renewal,Hotel (101-200) Rooms,,"location
(42.39255, -83.08765)"
BUS1987-00757,11626 WOODWARD,01004380-1,THE NORMANDIE,"NORWOOD INVESTMENTS, INC.",11/20/2018,Renewal,Beverages Retail,,"location
(42.39255, -83.08765)"
BUS1987-00757,11626 WOODWARD,01004380-1,THE NORMANDIE,"NORWOOD INVESTMENTS, INC.",11/20/2018,Renewal,Vending Machines - Package Food Tag(s),,"location
(42.39255, -83.08765)"
BUS1987-00757,11626 WOODWARD,01004380-1,THE NORMANDIE,"NORWOOD INVESTMENTS, INC.",11/20/2018,Renewal,Hotel (101-200) Rooms,,"location
(42.39255, -83.08765)"
BUS1987-00757,11626 WOODWARD,01004380-1,THE NORMANDIE,"NORWOOD INVESTMENTS, INC.",11/20/2018,Renewal,Beverages Retail,,"location
(42.39255, -83.08765)"
BUS1987-00757,11626 WOODWARD,01004380-1,THE NORMANDIE,"NORWOOD INVESTMENTS, INC.",11/20/2018,Renewal,Vending Machines - Package Food Tag(s),,"location
(42.39255, -83.08765)"
BUS1987-00662,9645 E JEFFERSON,19000048-50,JENNA STATION INC,JENNA STATION INC,09/16/2015,New Owner,Cigarette - Retail,Corporation,"location
(42.36046, -82.9833)"
BUS1987-00662,9645 E JEFFERSON,19000048-50,JENNA STATION INC,JENNA STATION INC,09/16/2015,New Owner,Gas Station (Self Service),Corporation,"location
(42.36046, -82.9833)"
BUS1987-00662,9645 E JEFFERSON,19000048-50,JENNA STATION INC,JENNA STATION INC,10/09/2018,New Owner,Cigarette - Retail,Corporation,"location
(42.36046, -82.9833)"
BUS1987-00662,9645 E JEFFERSON,19000048-50,JENNA STATION INC,JENNA STATION INC,10/09/2018,New Owner,Gas Station (Self Service),Corporation,"location
(42.36046, -82.9833)"
BUS1987-00970,114 ERSKINE,01000790.,MOST WORSHIPFUL KING DAVID GRAND LODGE & GRTR QUEEN ESTHER GR CHAPTER,MW KING DAVID GL TRUSTEE BOARD,05/10/2018,Renewal,Restaurant - Minimum - In Halls,Other,"location
(42.34616, -83.05469)"
BUS1987-00970,114 ERSKINE,01000790.,MOST WORSHIPFUL KING DAVID GRAND LODGE & GRTR QUEEN ESTHER GR CHAPTER,MW KING DAVID GL TRUSTEE BOARD,05/10/2018,Renewal,Hall - Public Dance (2a.m. closing),Other,"location
(42.34616, -83.05469)"
BUS1987-01004,5318 CABOT,20007855.,"AUTO ROUND UP, INC.","AUTO ROUND UP, INC.",11/01/2016,Renewal,Used Auto Dealer,Corporation,"location
(42.33138, -83.15049)"
BUS1987-01004,5318 CABOT,20007855.,"AUTO ROUND UP, INC.","AUTO ROUND UP, INC.",10/12/2017,Renewal,Used Auto Dealer,Corporation,"location
(42.33138, -83.15049)"
BUS1987-01004,5318 CABOT,20007855.,"AUTO ROUND UP, INC.","AUTO ROUND UP, INC.",11/23/2015,Renewal,Used Auto Dealer,Corporation,"location
(42.33138, -83.15049)"
BUS1987-00824,3613 MICHIGAN,,COIN-O-MATIC MICHIGAN,COIN-O-MATIC MICHIGAN,10/01/2015,Renewal,Laundry Self Service,,"location
(42.33137, -83.09332)"
BUS1987-00824,3613 MICHIGAN,,COIN-O-MATIC MICHIGAN,COIN-O-MATIC MICHIGAN,10/17/2018,Renewal,Laundry Self Service,,"location
(42.33137, -83.09332)"
BUS1987-00824,3613 MICHIGAN,,COIN-O-MATIC MICHIGAN,COIN-O-MATIC MICHIGAN,10/05/2017,Renewal,Laundry Self Service,,"location
(42.33137, -83.09332)"
BUS1987-00824,3613 MICHIGAN,,COIN-O-MATIC MICHIGAN,COIN-O-MATIC MICHIGAN,09/20/2016,Renewal,Laundry Self Service,,"location
(42.33137, -83.09332)"
BUS1987-01036,8600 DIX,20004387.,PAL'S AUTO PARTS #2,GARY BALL,02/12/2018,Renewal,Motor Truck Permit(s),Sole Proprietor,"location
(42.31549, -83.13661)"
BUS1987-01036,8600 DIX,20004387.,PAL'S AUTO PARTS #2,GARY BALL,02/12/2018,Renewal,Used Auto Dealer/Parts/Wrecking & Dismantling Yard,Sole Proprietor,"location
(42.31549, -83.13661)"
BUS1987-01036,8600 DIX,20004387.,PAL'S AUTO PARTS #2,GARY BALL,01/18/2017,Renewal,Motor Truck Permit(s),Sole Proprietor,"location
(42.31549, -83.13661)"
BUS1987-00768,7155 W VERNOR,,24-7 C STORE LLC,24-7 C STORE LLC,08/24/2017,New Owner,Cigarette - Retail,Limited Liability Co,"location
(42.31416, -83.12047)"
BUS1987-00768,7155 W VERNOR,,24-7 C STORE LLC,24-7 C STORE LLC,08/24/2017,New Owner,Gas Station (Self Service),Limited Liability Co,"location
(42.31416, -83.12047)"
BUS1987-00768,7155 W VERNOR,,24-7 C STORE LLC,24-7 C STORE LLC,10/03/2018,New Owner,Cigarette - Retail,Limited Liability Co,"location
(42.31416, -83.12047)"
BUS1987-00768,7155 W VERNOR,,24-7 C STORE LLC,24-7 C STORE LLC,10/03/2018,New Owner,Gas Station (Self Service),Limited Liability Co,"location
(42.31416, -83.12047)"
BUS1987-00768,7155 W VERNOR,,24-7 C STORE LLC,24-7 C STORE LLC,08/23/2016,New Owner,Cigarette - Retail,Limited Liability Co,"location
(42.31416, -83.12047)"
BUS1987-00757,11626 WOODWARD,01004380-1,THE NORMANDIE,"NORWOOD INVESTMENTS, INC.",11/20/2018,Renewal,Hotel (101-200) Rooms,,"location
(42.39255, -83.08765)"
BUS1987-00757,11626 WOODWARD,01004380-1,THE NORMANDIE,"NORWOOD INVESTMENTS, INC.",08/17/2016,Renewal,Beverages Retail,,"location
(42.39255, -83.08765)"
BUS1987-00757,11626 WOODWARD,01004380-1,THE NORMANDIE,"NORWOOD INVESTMENTS, INC.",08/17/2016,Renewal,Vending Machines - Package Food Tag(s),,"location
(42.39255, -83.08765)"
BUS1987-00757,11626 WOODWARD,01004380-1,THE NORMANDIE,"NORWOOD INVESTMENTS, INC.",08/17/2016,Renewal,Hotel (101-200) Rooms,,"location
(42.39255, -83.08765)"
BUS1987-00757,11626 WOODWARD,01004380-1,THE NORMANDIE,"NORWOOD INVESTMENTS, INC.",04/03/2017,Renewal,Beverages Retail,,"location
(42.39255, -83.08765)"
BUS1987-00757,11626 WOODWARD,01004380-1,THE NORMANDIE,"NORWOOD INVESTMENTS, INC.",04/03/2017,Renewal,Vending Machines - Package Food Tag(s),,"location
(42.39255, -83.08765)"
BUS1987-00757,11626 WOODWARD,01004380-1,THE NORMANDIE,"NORWOOD INVESTMENTS, INC.",04/03/2017,Renewal,Hotel (101-200) Rooms,,"location
(42.39255, -83.08765)"
BUS1987-00757,11626 WOODWARD,01004380-1,THE NORMANDIE,"NORWOOD INVESTMENTS, INC.",01/08/2016,Renewal,Beverages Retail,,"location
(42.39255, -83.08765)"
BUS1987-00770,6171 W VERNOR,,SAM'S SHELL SERVICE,HUSSEIN HABHAB,10/25/2017,Renewal,Cigarette - Retail,,"location
(42.31563, -83.10805)"
BUS1987-00770,6171 W VERNOR,,SAM'S SHELL SERVICE,HUSSEIN HABHAB,10/25/2017,Renewal,Gas Station (Self Service),,"location
(42.31563, -83.10805)"
BUS1987-00770,6171 W VERNOR,,SAM'S SHELL SERVICE,HUSSEIN HABHAB,08/22/2016,Renewal,Cigarette - Retail,,"location
(42.31563, -83.10805)"
BUS1987-00770,6171 W VERNOR,,SAM'S SHELL SERVICE,HUSSEIN HABHAB,08/22/2016,Renewal,Gas Station (Self Service),,"location
(42.31563, -83.10805)"
BUS1987-01154,8501 MICHIGAN,,COLLINS MOTOR SALES,COLLINS MOTOR SALES,11/12/2015,New Owner,Used Auto Dealer,Sole Proprietor,"location
(42.33009, -83.14648)"
BUS1987-01496,1316 E JEFFERSON,05000056-8,JMJ LODGING INC,JMJ LODGING INC,06/26/2017,Renewal,Parking Lot-Plate (51-100 cars),Corporation,"location
(42.33307, -83.03342)"
BUS1987-01165,15225 GRATIOT,21029208.,"BEN'S MOTOR SALES, LLC","BEN'S MOTOR SALES, LLC",11/16/2018,New Owner,Used Auto Dealer,Corporation,"location
(42.44648, -82.97067)"
BUS1987-01165,15225 GRATIOT,21029208.,"BEN'S MOTOR SALES, LLC","BEN'S MOTOR SALES, LLC",11/16/2015,New Owner,Used Auto Dealer,Corporation,"location
(42.44648, -82.97067)"
BUS1987-01036,8600 DIX,20004387.,PAL'S AUTO PARTS #2,GARY BALL,01/18/2017,Renewal,Used Auto Dealer/Parts/Wrecking & Dismantling Yard,Sole Proprietor,"location
(42.31549, -83.13661)"
BUS1987-01036,8600 DIX,20004387.,PAL'S AUTO PARTS #2,GARY BALL,01/06/2016,Renewal,Motor Truck Permit(s),Sole Proprietor,"location
(42.31549, -83.13661)"
BUS1987-01036,8600 DIX,20004387.,PAL'S AUTO PARTS #2,GARY BALL,01/06/2016,Renewal,Used Auto Dealer/Parts/Wrecking & Dismantling Yard,Sole Proprietor,"location
(42.31549, -83.13661)"
BUS1987-01115,2315 E MCNICHOLS,09006708-11,"SPECIAL WAY AUTO CENTER, INC","SPECIAL WAY AUTO CENTER, INC",08/23/2018,New Owner,Used Auto Dealer/Used Auto Parts,Corporation,"location
(42.41883, -83.07873)"
BUS1987-01115,2315 E MCNICHOLS,09006708-11,"SPECIAL WAY AUTO CENTER, INC","SPECIAL WAY AUTO CENTER, INC",12/01/2016,New Owner,Used Auto Dealer/Used Auto Parts,Corporation,"location
(42.41883, -83.07873)"
BUS1987-01115,2315 E MCNICHOLS,09006708-11,"SPECIAL WAY AUTO CENTER, INC","SPECIAL WAY AUTO CENTER, INC",10/24/2018,New Owner,Used Auto Dealer/Used Auto Parts,Corporation,"location
(42.41883, -83.07873)"
BUS1987-01115,2315 E MCNICHOLS,09006708-11,"SPECIAL WAY AUTO CENTER, INC","SPECIAL WAY AUTO CENTER, INC",11/18/2015,New Owner,Used Auto Dealer/Used Auto Parts,Corporation,"location
(42.41883, -83.07873)"
BUS1987-01225,17471 VAN DYKE,15005419.002L,"QUALITY USED AUTO PARTS, INC.",QUALITY USED AUTO PARTS,03/30/2015,Renewal,Used Auto Wrecking & Dismantling Yard,Corporation,"location
(42.42185, -83.02405)"
BUS1987-01225,17471 VAN DYKE,15005419.002L,"QUALITY USED AUTO PARTS, INC.",QUALITY USED AUTO PARTS,03/30/2015,Renewal,Used Auto Parts,Corporation,"location
(42.42185, -83.02405)"
BUS1987-01225,17471 VAN DYKE,15005419.002L,"QUALITY USED AUTO PARTS, INC.",QUALITY USED AUTO PARTS,12/02/2015,Renewal,Used Auto Wrecking & Dismantling Yard,Corporation,"location
(42.42185, -83.02405)"
BUS1987-01225,17471 VAN DYKE,15005419.002L,"QUALITY USED AUTO PARTS, INC.",QUALITY USED AUTO PARTS,12/02/2015,Renewal,Used Auto Parts,Corporation,"location
(42.42185, -83.02405)"
BUS1987-01225,17471 VAN DYKE,15005419.002L,"QUALITY USED AUTO PARTS, INC.",QUALITY USED AUTO PARTS,10/29/2018,Renewal,Used Auto Wrecking & Dismantling Yard,Corporation,"location
(42.42185, -83.02405)"
BUS1987-01225,17471 VAN DYKE,15005419.002L,"QUALITY USED AUTO PARTS, INC.",QUALITY USED AUTO PARTS,10/29/2018,Renewal,Used Auto Parts,Corporation,"location
(42.42185, -83.02405)"
BUS1987-01238,3511 W FORT,20015159-65,DOWNTOWN PAPER AND METAL RECYC,NORMAN ADELSBERG,10/10/2018,Renewal,Junk Yard Dealer-Location,Corporation,"location
(42.31561, -83.08117)"
BUS1987-01087,21511 W GRAND RIVER,22007461.,PIONEER AUTOMOTIVE LLC,PIONEER AUTOMOTIVE LLC,07/12/2017,New Owner,Used Auto Dealer,Limited Liability Co,"location
(42.41499, -83.25457)"
BUS1987-01087,21511 W GRAND RIVER,22007461.,PIONEER AUTOMOTIVE LLC,PIONEER AUTOMOTIVE LLC,02/15/2018,New Owner,Used Auto Dealer,Limited Liability Co,"location
(42.41499, -83.25457)"
BUS1987-01344,19025 TELEGRAPH,,"ZINDANI FUEL COMPANY, INC.","ZINDANI FUEL COMPANY, INC.",09/16/2015,New Owner,Gas Station (Self Service),Corporation,"location
(42.42805, -83.27803)"
BUS1987-01344,19025 TELEGRAPH,,"ZINDANI FUEL COMPANY, INC.","ZINDANI FUEL COMPANY, INC.",09/16/2015,New Owner,Cigarette - Retail,Corporation,"location
(42.42805, -83.27803)"
